ceremony,year,class,canonicalcategory,category,nomid,film,filmid,name,nominees,nomineeids,winner,detail,yearstart
96,2023,Acting,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,an2043506,Maestro,tt5535276,Bradley Cooper,Bradley Cooper,nm0177896,0,Leonard Bernstein,2023
96,2023,Acting,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,an2043507,Rustin,tt14160834,Colman Domingo,Colman Domingo,nm0231458,0,Bayard Rustin,2023
96,2023,Acting,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,an2043505,The Holdovers,tt14849194,Paul Giamatti,Paul Giamatti,nm0316079,0,Paul Hunham,2023
96,2023,Acting,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,an2043504,Oppenheimer,tt15398776,Cillian Murphy,Cillian Murphy,nm0614165,1,J. Robert Oppenheimer,2023
96,2023,Acting,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,an2043508,American Fiction,tt23561236,Jeffrey Wright,Jeffrey Wright,nm0942482,0,Thelonious ‘Monk’ Ellison,2023
96,2023,Acting,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,an2043534,American Fiction,tt23561236,Sterling K. Brown,Sterling K. Brown,nm1250791,0,Clifford Ellison,2023
96,2023,Acting,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,an2043533,Killers of the Flower Moon,tt5537002,Robert De Niro,Robert De Niro,nm0000134,0,William Hale,2023
96,2023,Acting,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,an2043531,Oppenheimer,tt15398776,Robert Downey Jr.,Robert Downey Jr.,nm0000375,1,Lewis Strauss,2023
96,2023,Acting,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,an2043532,Barbie,tt1517268,Ryan Gosling,Ryan Gosling,nm0331516,0,Ken,2023
96,2023,Acting,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,an2043536,Poor Things,tt14230458,Mark Ruffalo,Mark Ruffalo,nm0749263,0,Duncan Wedderburn,2023
96,2023,Acting,ACTRESS IN A LEADING ROLE,ACTRESS IN A LEADING ROLE,an2043498,Nyad,tt5302918,Annette Bening,Annette Bening,nm0000906,0,Diana Nyad,2023
96,2023,Acting,ACTRESS IN A LEADING ROLE,ACTRESS IN A LEADING ROLE,an2043493,Killers of the Flower Moon,tt5537002,Lily Gladstone,Lily Gladstone,nm4291409,0,Mollie Burkhart,2023
96,2023,Acting,ACTRESS IN A LEADING ROLE,ACTRESS IN A LEADING ROLE,an2043497,Anatomy of a Fall,tt17009710,Sandra Hüller,Sandra Hüller,nm1197689,0,Sandra,2023
96,2023,Acting,ACTRESS IN A LEADING ROLE,ACTRESS IN A LEADING ROLE,an2043495,Maestro,tt5535276,Carey Mulligan,Carey Mulligan,nm1659547,0,Felicia Montealegre,2023
96,2023,Acting,ACTRESS IN A LEADING ROLE,ACTRESS IN A LEADING ROLE,an2043494,Poor Things,tt14230458,Emma Stone,Emma Stone,nm1297015,1,Bella Baxter,2023
96,2023,Acting,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,an2043515,Oppenheimer,tt15398776,Emily Blunt,Emily Blunt,nm1289434,0,Kitty Oppenheimer,2023
96,2023,Acting,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,an2043514,The Color Purple,tt1200263,Danielle Brooks,Danielle Brooks,nm5335029,0,Sofia,2023
96,2023,Acting,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,an2043526,Barbie,tt1517268,America Ferrera,America Ferrera,nm1065229,0,Gloria,2023
96,2023,Acting,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,an2043516,Nyad,tt5302918,Jodie Foster,Jodie Foster,nm0000149,0,Bonnie Stoll,2023
96,2023,Acting,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,an2043513,The Holdovers,tt14849194,Da'Vine Joy Randolph,Da'Vine Joy Randolph,nm5007768,1,Mary Lamb,2023
96,2023,Title,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,an2045987,The Boy and the Heron,tt6587046,Hayao Miyazaki and Toshio Suzuki,"Hayao Miyazaki, Toshio Suzuki","nm0594503,nm0840699",1,,2023
