name,release_year,poster,imdbid,streaming,rent,buy,num_streaming
Maestro,2023,https://images.justwatch.com/poster/309336798/s718/maestro-2021-0.jpg,tt5535276,"['Netflix', 'Netflix Standard with Ads']",[],[],2
Rustin,2023,https://images.justwatch.com/poster/308914505/s718/rustin.jpg,tt14160834,"['Netflix', 'Netflix Standard with Ads']",[],[],2
The Holdovers,2023,https://images.justwatch.com/poster/309896363/s718/the-holdovers.jpg,tt14849194,[],"['Amazon Video ($3.99)', 'Apple TV Store ($3.99)', 'Google Play Movies ($3.99)', 'YouTube ($3.99)', 'Fandango At Home ($3.99)', 'FlixFling ($3.99)', 'Spectrum On Demand ($3.99)']","['Amazon DVD / Blu-ray ($None)', 'GRUV ($9.99)', 'Barnes & Noble ($13.99)']",0
Oppenheimer,2023,https://images.justwatch.com/poster/305252655/s718/oppenheimer.jpg,tt15398776,[],"['Amazon Video ($3.99)', 'Apple TV Store ($3.99)', 'Google Play Movies ($3.99)', 'YouTube ($3.99)', 'Fandango At Home ($3.99)', 'Spectrum On Demand ($3.99)']","['Amazon DVD / Blu-ray ($None)', 'Barnes & Noble ($16.09)']",0
American Fiction,2023,https://images.justwatch.com/poster/310449652/s718/untitled-cord-jefferson-film.jpg,tt23561236,"['Peacock Premium', 'Peacock Premium Plus']","['Amazon Video ($3.99)', 'Fandango At Home ($3.99)', 'Spectrum On Demand ($3.99)', 'Apple TV Store ($4.99)', 'Google Play Movies ($6.99)', 'YouTube ($6.99)']","['Amazon DVD / Blu-ray ($None)', 'Barnes & Noble ($35.99)']",2
Killers of the Flower Moon,2023,https://images.justwatch.com/poster/307275790/s718/killers-of-the-flower-moon.jpg,tt5537002,"['Apple TV', 'Apple TV Amazon Channel']","['Amazon Video ($3.99)', 'Apple TV Store ($3.99)', 'Google Play Movies ($3.99)', 'YouTube ($3.99)', 'Fandango At Home ($3.99)', 'Plex ($3.99)']","['Amazon DVD / Blu-ray ($None)', 'Barnes & Noble ($53.99)']",2
Barbie,2023,https://images.justwatch.com/poster/306454329/s718/barbie-2023.jpg,tt1517268,"['HBO Max', 'HBO Max Amazon Channel', 'YouTube TV', 'Cinemax Amazon Channel', 'Cinemax Apple TV Channel']","['Google Play Movies ($3.99)', 'YouTube ($3.99)', 'Fandango At Home ($3.99)', 'Spectrum On Demand ($3.99)', 'Amazon Video ($4.99)', 'Apple TV Store ($4.99)', 'Plex ($4.99)']","['Amazon DVD / Blu-ray ($None)', 'GRUV ($7.99)', 'Barnes & Noble ($16.09)', 'Zavvi ($40.99)']",5
Poor Things,2023,https://images.justwatch.com/poster/309120615/s718/poor-things.jpg,tt14230458,['Hulu'],"['Amazon Video ($3.99)', 'Google Play Movies ($3.99)', 'YouTube ($3.99)', 'Fandango At Home ($3.99)', 'Spectrum On Demand ($3.99)']","['Apple TV Store ($4.99)', 'Amazon DVD / Blu-ray ($17.7)']",1
NYAD,2023,https://images.justwatch.com/poster/310049240/s718/nyad.jpg,tt5302918,"['Netflix', 'Netflix Standard with Ads']",[],[],2
Anatomy of a Fall,2023,https://images.justwatch.com/poster/307074431/s718/anatomie-dune-chute.jpg,tt17009710,['Hulu'],"['Amazon Video ($3.99)', 'Apple TV Store ($3.99)', 'Google Play Movies ($3.99)', 'YouTube ($3.99)', 'Fandango At Home ($3.99)', 'Spectrum On Demand ($3.99)']","['Amazon DVD / Blu-ray ($None)', 'Zavvi ($26.99)', 'Barnes & Noble ($29.99)']",1
